team1,team2,toss_winner,toss_decision,venue,venue_win_rate,team1_recent_form,team2_recent_form,team1_win
6,13,13,1,23,0.2857142857142857,0.5,0.5,1
0,10,0,0,41,0.5,0.5,0.5,1
11,2,11,0,16,0.5,0.5,0.5,0
8,13,8,0,56,0.6111111111111112,0.5,0.0,0
1,6,1,0,14,0.0,0.5,0.5,0
10,11,10,0,47,0.25,0.5,0.5,0
1,2,1,0,43,0.16666666666666666,0.0,1.0,0
0,8,8,1,27,0.7666666666666667,1.0,0.5,1
1,11,11,1,43,0.16666666666666666,0.0,1.0,0
10,8,8,1,41,0.4444444444444444,0.0,0.0,1
13,11,11,1,23,0.41935483870967744,0.5,1.0,0
6,0,6,0,27,0.0,1.0,0.5,0
8,1,1,1,9,0.8,0.0,0.5,0
2,10,2,0,41,0.0,0.5,0.0,0
0,13,0,0,23,0.75,1.0,0.5,1
6,8,6,0,14,0.4878048780487805,0.5,0.0,0
2,13,13,1,16,0.3939393939393939,0.0,0.33333333333333337,1
1,10,10,1,43,0.16666666666666666,0.0,0.5,0
11,6,11,0,47,0.5,0.0,1.0,1
0,2,0,0,27,0.7666666666666667,1.0,1.0,0
1,13,1,0,43,0.16666666666666666,0.0,0.25,0
10,6,10,0,41,0.4444444444444444,0.5,0.5,1
8,2,2,1,9,0.8,0.0,1.0,1
0,11,0,0,47,0.25,0.75,1.0,0
13,10,10,1,23,0.41935483870967744,0.0,0.6666666666666667,0
0,1,1,1,27,0.7666666666666667,0.6,1.0,0
11,8,8,1,9,0.0,0.5,0.33333333333333337,0
2,0,0,1,16,0.3939393939393939,0.5,1.0,0
6,13,6,0,14,0.4878048780487805,0.3333333333333333,0.4,1
1,11,11,1,47,0.0,0.0,1.0,0
13,8,8,1,23,0.41935483870967744,0.0,0.5,0
0,10,10,1,27,0.7666666666666667,0.4,0.75,1
6,1,6,0,43,0.6666666666666666,0.5,1.0,1
2,11,11,1,47,0.0,0.3333333333333333,1.0,0
13,10,13,0,41,0.0,0.0,0.6,0
6,2,6,0,14,0.4878048780487805,0.6,0.75,1
0,8,8,1,56,0.0,0.4,0.6,0
10,11,11,1,41,0.4444444444444444,0.6666666666666666,1.0,1
2,1,1,1,16,0.3939393939393939,0.25,0.6666666666666667,1
6,8,8,1,56,0.16666666666666666,0.6,0.8,0
2,10,2,0,16,0.3939393939393939,0.4,0.8,0
11,13,13,1,47,0.5,0.3333333333333333,0.4,1
8,1,1,1,43,0.5,0.3333333333333333,0.5,1
6,0,6,0,14,0.4878048780487805,0.6,1.0,0
13,2,2,1,23,0.41935483870967744,0.0,0.6,0
6,11,11,1,14,0.4878048780487805,0.6,0.8,0
10,8,8,1,56,0.5714285714285714,0.75,1.0,1
13,0,13,0,27,0.4,0.0,1.0,1
1,10,10,1,41,0.0,0.0,0.8,0
8,2,2,1,16,0.5,0.5,0.6,0
11,0,11,0,27,0.25,0.5,0.75,1
13,1,1,1,23,0.41935483870967744,0.2,0.4,1
10,6,10,0,14,0.16666666666666666,0.8,0.33333333333333337,0
8,11,11,1,47,0.2,0.4,0.8,0
1,0,1,0,43,0.16666666666666666,0.0,0.6,0
11,2,2,1,56,0.5,0.6,0.6,1
10,0,10,0,56,0.5714285714285714,0.8,0.6,0
0,11,11,1,9,0.6666666666666666,0.2,0.8,0
8,0,0,1,36,1.0,0.4,0.6,1
13,11,13,0,36,1.0,0.4,0.8,1
10,2,2,1,36,0.5,0.6,0.4,0
6,1,6,0,36,0.0,0.4,0.19999999999999996,0
0,13,0,0,52,1.0,0.2,0.19999999999999996,1
10,6,6,1,22,0.5,0.4,0.5,0
1,13,1,0,36,1.0,0.0,0.19999999999999996,1
